price,size,location,total_sqft,price_per_sqft,bhk,bath
6500000,1 BHK,"Sector 6, Nerul,Navi Mumbai",400,16250,1,1
12505600,2 BHK,"Sector 23, Nerul,Navi Mumbai",1280,9770,2,2
21336000,2 BHK,"Sector 12, Nerul,Navi Mumbai",1270,16800,2,1
29994300,4 BHK,"Sector 14, Nerul,Navi Mumbai",2070,14490,4,2
13503000,2 BHK,"Sector 20, Nerul,Navi Mumbai",1050,12860,2,1
34502400,3 BHK,"Sector 18A, Nerul,Navi Mumbai",1440,23960,3,2
17899860,2 BHK,"Sector 12, Nerul,Navi Mumbai",1221,14660,2,2
20004000,2 BHK,"Sector 29, Nerul,Navi Mumbai",1200,16670,2,2
8296350,1 BHK,"Sector 19A, Nerul,Navi Mumbai",615,13490,1,1
21999600,3 BHK,"Sector 9, Nerul,Navi Mumbai",1260,17460,3,2
13995000,2 BHK,"Sector 22, Nerul,Navi Mumbai",900,15550,2,2
15994800,2 BHK,"Sector 27, Nerul,Navi Mumbai",1080,14810,2,2
24998400,3 BHK,"Sector 28, Nerul,Navi Mumbai",1860,13440,3,2
24502500,3 BHK,"Sector 19, Nerul,Navi Mumbai",1350,18150,3,2
14099000,2 BHK,"Sector 25, Nerul,Navi Mumbai",1150,12260,2,1
99987600,4 BHK,"Sector 14, Nerul,Navi Mumbai",3880,25770,4,2
17000100,2 BHK,"Sector 14, Nerul,Navi Mumbai",1170,14530,2,2
9804000,3 BHK,"Sector 23, Nerul,Navi Mumbai",1200,8170,3,2
5000000,1 BHK,"Sector 10, Nerul,Navi Mumbai",500,10000,1,1
20494250,2 BHK,"Sector 27, Nerul,Navi Mumbai",1225,16730,2,1
33400550,3 BHK,"Sector 28, Nerul,Navi Mumbai",1165,28670,3,2
30000000,3 BHK,"Sector 28, Nerul,Navi Mumbai",1500,20000,3,2
18504000,2 BHK,"Sector 28, Nerul,Navi Mumbai",1200,15420,2,1
10000000,2 BHK,"Sector 27, Nerul,Navi Mumbai",1000,10000,2,1
14000000,2 BHK,"Sector 27, Nerul,Navi Mumbai",1000,14000,2,1
65018000,4 BHK,"Sector 16, Nerul,Navi Mumbai",3800,17110,4,2
24998000,3 BHK,"Sector 6, Nerul,Navi Mumbai",1450,17240,3,1
35000000,3 BHK,"Sector 19A, Nerul,Navi Mumbai",1750,20000,3,2
35008000,4 BHK,"Sector 19A, Nerul,Navi Mumbai",3200,10940,4,3
31498500,3 BHK,"Sector 27, Nerul,Navi Mumbai",1650,19090,3,2
18504000,2 BHK,"Sector 27, Nerul,Navi Mumbai",1200,15420,2,2
27990500,3 BHK,"Sector 6, Nerul,Navi Mumbai",1850,15130,3,3
29992500,3 BHK,"Sector 6, Nerul,Navi Mumbai",1550,19350,3,2
16500000,2 BHK,"Sector 6, Nerul,Navi Mumbai",1250,13200,2,2
16500000,2 BHK,"Sector 6, Nerul,Navi Mumbai",1100,15000,2,2
18000000,2 BHK,"Sector 6, Nerul,Navi Mumbai",1250,14400,2,2
8502000,1 BHK,"Sector 20, Nerul,Navi Mumbai",650,13080,1,1
40500000,3 BHK,"Sector 6, Nerul,Navi Mumbai",2000,20250,3,2
16997000,2 BHK,"Sector 27, Nerul,Navi Mumbai",1150,14780,2,2
50010000,5 BHK,"Sector 19A, Nerul,Navi Mumbai",3000,16670,5,3
17004000,2 BHK,"Sector 28, Nerul,Navi Mumbai",1200,14170,2,2
8498250,1 BHK,"Sector 19, Nerul,Navi Mumbai",675,12590,1,1
19795600,2 BHK,"Sector 27, Nerul,Navi Mumbai",1210,16360,2,2
19994000,2 BHK,"Sector 28, Nerul,Navi Mumbai",1300,15380,2,2
31100400,3 BHK,"Sector 27, Nerul,Navi Mumbai",2120,14670,3,3
18000000,2 BHK,"Sector 28, Nerul,Navi Mumbai",1250,14400,2,2
130000000,4 BHK ,"Sector 19A, Nerul,Navi Mumbai",5000,26000,4,3
15505000,3 BHK,"Sector 23, Nerul,Navi Mumbai",1750,8860,3,3
49996000,3 BHK,"Sector 23, Nerul,Navi Mumbai",2320,21550,3,3
21502800,3 BHK,"Sector 19, Nerul,Navi Mumbai",1485,14480,3,1
27992250,3 BHK,"Sector 19, Nerul,Navi Mumbai",1885,14850,3,2
42000000,3 BHK,"Sector 6, Nerul,Navi Mumbai",2000,21000,3,2
45000000,3 BHK,"Sector 6, Nerul,Navi Mumbai",2000,22500,3,2
32096800,3 BHK,"Sector 27, Nerul,Navi Mumbai",2120,15140,3,2
10500000,2 BHK,"Sector 21, Nerul,Navi Mumbai",1200,8750,2,2
