price,size,location,total_sqft,price_per_sqft,bhk
1.8 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1431 sq.ft,12.58 K/sq.ft,2
66.0 L,1 BHK,"Shiravane, Nerul,Navi Mumbai",600 sq.ft,11.00 K/sq.ft,1
75.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",630 sq.ft,11.90 K/sq.ft,1
2.1 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1230 sq.ft,17.07 K/sq.ft,2
1.53 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1000 sq.ft,15.30 K/sq.ft,2
3.0 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1800 sq.ft,16.67 K/sq.ft,3
2.65 Cr,2 BHK,"Sector 18A, Nerul,Navi Mumbai",1250 sq.ft,21.20 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1150 sq.ft,15.65 K/sq.ft,2
1.78 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1155 sq.ft,15.41 K/sq.ft,2
2.0 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1195 sq.ft,16.74 K/sq.ft,2
1.28 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1010 sq.ft,12.67 K/sq.ft,2
80.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",650 sq.ft,12.31 K/sq.ft,1
1.75 Cr,2 BHK,"Sector 18, Nerul,Navi Mumbai",1350 sq.ft,12.96 K/sq.ft,2
2.35 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1268 sq.ft,18.53 K/sq.ft,2
85.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",810 sq.ft,10.49 K/sq.ft,1
1.85 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1355 sq.ft,13.65 K/sq.ft,2
1.68 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1250 sq.ft,13.44 K/sq.ft,2
1.86 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1258 sq.ft,14.79 K/sq.ft,2
1.2 Cr,2 BHK,"Sector 21, Nerul,Navi Mumbai",980 sq.ft,12.24 K/sq.ft,2
68.0 L,1 BHK,"Sector 21, Nerul,Navi Mumbai",550 sq.ft,12.36 K/sq.ft,1
2.1 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1100 sq.ft,19.09 K/sq.ft,2
1.45 Cr,2 BHK,"Sector 11, Nerul,Navi Mumbai",1100 sq.ft,13.18 K/sq.ft,2
1.75 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1150 sq.ft,15.22 K/sq.ft,2
1.6 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1100 sq.ft,14.54 K/sq.ft,2
1.35 Cr,2 BHK,"Sector 20, Nerul,Navi Mumbai",1075 sq.ft,12.56 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1259 sq.ft,14.30 K/sq.ft,2
1.65 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1205 sq.ft,13.69 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 16A, Nerul,Navi Mumbai",1250 sq.ft,14.40 K/sq.ft,2
2.2 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1450 sq.ft,15.17 K/sq.ft,3
1.6 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1000 sq.ft,16.00 K/sq.ft,2
3.4 Cr,3 BHK,"Sector 14, Nerul,Navi Mumbai",1770 sq.ft,19.21 K/sq.ft,3
1.6 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1150 sq.ft,13.91 K/sq.ft,2
1.62 Cr,2 BHK,"Sector 20, Nerul,Navi Mumbai",1100 sq.ft,14.73 K/sq.ft,2
75.0 L,1 BHK,"Sector 21, Nerul,Navi Mumbai",550 sq.ft,13.64 K/sq.ft,1
1.62 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",990 sq.ft,16.36 K/sq.ft,2
1.25 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1000 sq.ft,12.50 K/sq.ft,2
90.0 L,2 BHK,"Sector 19A, Nerul,Navi Mumbai",850 sq.ft,10.59 K/sq.ft,2
85.0 L,1 BHK,"Sector 28, Nerul,Navi Mumbai",650 sq.ft,13.08 K/sq.ft,1
2.1 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",700 sq.ft,30.00 K/sq.ft,2
1.6 Cr,2 BHK,"Sector 29, Nerul,Navi Mumbai",1050 sq.ft,15.24 K/sq.ft,2
10.25 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3250 sq.ft,31.54 K/sq.ft,4
1.25 Cr,2 BHK,"Sector 20, Nerul,Navi Mumbai",1050 sq.ft,11.90 K/sq.ft,2
79.0 L,1 BHK,"Sector 25, Nerul,Navi Mumbai",630 sq.ft,12.54 K/sq.ft,1
89.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",630 sq.ft,14.13 K/sq.ft,1
1.0 Cr,2 BHK,"Sector 19A, Nerul,Navi Mumbai",1050 sq.ft,9.52 K/sq.ft,2
95.0 L,2 BHK,"Sarsola Village, Nerul,Navi Mumbai",1000 sq.ft,9.50 K/sq.ft,2
85.0 L,1 BHK,"Sector 25, Nerul,Navi Mumbai",550 sq.ft,15.45 K/sq.ft,1
8.25 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3700 sq.ft,22.30 K/sq.ft,4
1.39 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1050 sq.ft,13.24 K/sq.ft,2
3.7 Cr,3 BHK,"Sector 28, Nerul,Navi Mumbai",2450 sq.ft,15.10 K/sq.ft,3
2.5 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1250 sq.ft,20.00 K/sq.ft,2
2.95 Cr,3 BHK,"Nerul, Navi Mumbai",1600 sq.ft,18.44 K/sq.ft,3
2.95 Cr,3 BHK,"Nerul, Navi Mumbai",1600 sq.ft,18.44 K/sq.ft,3
1.3 Cr,2 BHK,"Sector 15, Nerul,Navi Mumbai",1020 sq.ft,12.74 K/sq.ft,2
2.25 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1500 sq.ft,15.00 K/sq.ft,3
3.2 Cr,3 BHK,"Sector 19, Nerul,Navi Mumbai",1885 sq.ft,16.98 K/sq.ft,3
1.8 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1220 sq.ft,14.75 K/sq.ft,2
1.72 Cr,2 BHK,"Sector 11, Nerul,Navi Mumbai",1235 sq.ft,13.93 K/sq.ft,2
88.0 L,1 BHK,"Sector 16A, Nerul,Navi Mumbai",655 sq.ft,13.44 K/sq.ft,1
2.1 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1100 sq.ft,19.09 K/sq.ft,2
1.39 Cr,2 BHK,"Sector 15, Nerul,Navi Mumbai",1220 sq.ft,11.39 K/sq.ft,2
2.25 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1550 sq.ft,14.52 K/sq.ft,3
2.25 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1200 sq.ft,18.75 K/sq.ft,3
2.36 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1250 sq.ft,18.88 K/sq.ft,2
6.6 Cr,4 BHK,"Sector 6, Nerul,Navi Mumbai",3250 sq.ft,20.31 K/sq.ft,4
1.7 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",990 sq.ft,17.17 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1200 sq.ft,15.00 K/sq.ft,2
80.0 L,1 BHK,"Sector 19A, Nerul,Navi Mumbai",630 sq.ft,12.70 K/sq.ft,1
4.0 Cr,5 BHK,"Sector 19A, Nerul,Navi Mumbai",2400 sq.ft,16.67 K/sq.ft,5
1.4 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",900 sq.ft,15.55 K/sq.ft,2
11.5 Cr,4 BHK,"Sector 14, Nerul,Navi Mumbai",3600 sq.ft,31.94 K/sq.ft,4
3.0 Cr,3 BHK,"Sector 19A, Nerul,Navi Mumbai",1650 sq.ft,18.18 K/sq.ft,3
2.7 Cr,3 BHK,"Sector 28, Nerul,Navi Mumbai",1400 sq.ft,19.29 K/sq.ft,3
78.0 L,1 BHK,"Sector 16A, Nerul,Navi Mumbai",650 sq.ft,12.00 K/sq.ft,1
1.35 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1010 sq.ft,13.37 K/sq.ft,2
